time, 403037224773201139, 406908213773201128, 4010224513677320196, 4015213417077320185
1649267178.5398347, 63.72, 70.7, 69.8, 91.74
1649267180.8365998, 63.72, 70.7, 69.8, 91.96
1649267183.1349077, 63.72, 70.7, 69.8, 91.29
1649267185.431453, 63.72, 70.7, 69.8, 90.16
1649267187.7290606, 63.72, 70.7, 69.8, 90.05
1649267190.0256546, 63.72, 70.7, 69.91, 89.94
1649267192.3223534, 63.72, 70.7, 69.91, 90.27
1649267194.6192303, 63.72, 70.7, 69.91, 90.61
1649267196.9150913, 63.72, 70.7, 69.91, 90.72
1649267199.2126405, 63.72, 70.7, 69.91, 90.95
1649267201.5097976, 63.72, 70.7, 69.91, 91.06
1649267203.806034, 63.61, 70.7, 69.91, 91.29
1649267206.102915, 63.72, 70.7, 69.91, 91.4
1649267208.4006946, 63.72, 70.7, 69.91, 91.18
1649267210.6976779, 63.61, 70.7, 69.91, 90.95
1649267212.995486, 63.61, 70.7, 69.91, 90.5
1649267215.2931108, 63.61, 70.7, 69.8, 89.82
1649267217.5890944, 63.61, 70.7, 69.8, 78.69
1649267219.8830066, 63.61, 70.7, 69.91, 60.91
1649267222.1782339, 63.61, 70.7, 69.91, 57.99
1649267224.472047, 63.61, 70.7, 69.91, 57.99
1649267226.766668, 63.61, 70.7, 69.91, 57.42
1649267229.0605912, 63.61, 70.7, 69.91, 57.09
1649267231.32522, 63.61, 70.7, -196.6, 56.86
1649267232.902926, 63.61, 70.7, -196.6, 56.64
1649267235.197633, 63.61, 70.7, 69.91, 56.3
1649267237.491558, 63.61, 70.7, 69.91, 55.74
1649267239.7868419, 63.61, 70.7, 69.91, 55.06
1649267242.0810587, 63.61, 70.7, 69.8, 56.07
1649267244.3749719, 63.61, 70.7, 69.91, 56.86
1649267246.669142, 63.61, 70.7, 69.8, 57.54
1649267248.9637387, 63.61, 70.7, 69.8, 58.21
1649267251.2577984, 63.61, 70.7, 69.91, 58.89
1649267253.5526075, 63.61, 70.7, 69.91, 59.45
1649267255.846741, 63.61, 70.7, 69.8, 59.67
1649267258.1415923, 63.61, 70.7, 69.8, 60.13
1649267260.4357831, 63.5, 70.7, 69.91, 60.57
1649267262.7310224, 63.5, 70.7, 69.8, 61.03
1649267265.0259433, 63.61, 70.7, 69.8, 61.47
1649267267.320965, 63.61, 70.7, 69.8, 61.92
1649267269.61649, 63.5, 70.7, 69.8, 62.38
1649267271.911057, 63.61, 70.7, 69.8, 62.71
1649267274.2061248, 63.61, 70.7, 69.8, 62.94
1649267276.501456, 63.61, 70.7, 69.8, 63.28
1649267278.7965007, 63.61, 70.7, 69.8, 63.5
1649267281.0915318, 63.5, 70.7, 69.8, 63.84
1649267283.386255, 63.61, 70.7, 69.8, 64.06
